date,ticker,field,value
2000/1/4,511220.SH,ORIGINALUNIT,
2000/1/5,511220.SH,ORIGINALUNIT,
2000/1/6,511220.SH,ORIGINALUNIT,
2000/1/7,511220.SH,ORIGINALUNIT,
2000/1/10,511220.SH,ORIGINALUNIT,
2000/1/11,511220.SH,ORIGINALUNIT,
2000/1/12,511220.SH,ORIGINALUNIT,
2000/1/13,511220.SH,ORIGINALUNIT,
2000/1/14,511220.SH,ORIGINALUNIT,
2000/1/17,511220.SH,ORIGINALUNIT,
2000/1/18,511220.SH,ORIGINALUNIT,
2000/1/19,511220.SH,ORIGINALUNIT,
2000/1/20,511220.SH,ORIGINALUNIT,
2000/1/21,511220.SH,ORIGINALUNIT,
2000/1/24,511220.SH,ORIGINALUNIT,
2000/1/25,511220.SH,ORIGINALUNIT,
2000/1/26,511220.SH,ORIGINALUNIT,
2000/1/27,511220.SH,ORIGINALUNIT,
2000/1/28,511220.SH,ORIGINALUNIT,
2000/2/14,511220.SH,ORIGINALUNIT,
2000/2/15,511220.SH,ORIGINALUNIT,
2000/2/16,511220.SH,ORIGINALUNIT,
2000/2/17,511220.SH,ORIGINALUNIT,
2000/2/18,511220.SH,ORIGINALUNIT,
2000/2/21,511220.SH,ORIGINALUNIT,
2000/2/22,511220.SH,ORIGINALUNIT,
2000/2/23,511220.SH,ORIGINALUNIT,
2000/2/24,511220.SH,ORIGINALUNIT,
2000/2/25,511220.SH,ORIGINALUNIT,
2000/2/28,511220.SH,ORIGINALUNIT,
2000/2/29,511220.SH,ORIGINALUNIT,
2000/3/1,511220.SH,ORIGINALUNIT,
2000/3/2,511220.SH,ORIGINALUNIT,
2000/3/3,511220.SH,ORIGINALUNIT,
2000/3/6,511220.SH,ORIGINALUNIT,
2000/3/7,511220.SH,ORIGINALUNIT,
2000/3/8,511220.SH,ORIGINALUNIT,
2000/3/9,511220.SH,ORIGINALUNIT,
2000/3/10,511220.SH,ORIGINALUNIT,
2000/3/13,511220.SH,ORIGINALUNIT,
2000/3/14,511220.SH,ORIGINALUNIT,
2000/3/15,511220.SH,ORIGINALUNIT,
2000/3/16,511220.SH,ORIGINALUNIT,
2000/3/17,511220.SH,ORIGINALUNIT,
2000/3/20,511220.SH,ORIGINALUNIT,
2000/3/21,511220.SH,ORIGINALUNIT,
2000/3/22,511220.SH,ORIGINALUNIT,
2000/3/23,511220.SH,ORIGINALUNIT,
2000/3/24,511220.SH,ORIGINALUNIT,
2000/3/27,511220.SH,ORIGINALUNIT,
2000/3/28,511220.SH,ORIGINALUNIT,
2000/3/29,511220.SH,ORIGINALUNIT,
2000/3/30,511220.SH,ORIGINALUNIT,
2000/3/31,511220.SH,ORIGINALUNIT,
2000/4/3,511220.SH,ORIGINALUNIT,
2000/4/4,511220.SH,ORIGINALUNIT,
2000/4/5,511220.SH,ORIGINALUNIT,
2000/4/6,511220.SH,ORIGINALUNIT,
2000/4/7,511220.SH,ORIGINALUNIT,
2000/4/10,511220.SH,ORIGINALUNIT,
2000/4/11,511220.SH,ORIGINALUNIT,
2000/4/12,511220.SH,ORIGINALUNIT,
2000/4/13,511220.SH,ORIGINALUNIT,
2000/4/14,511220.SH,ORIGINALUNIT,
2000/4/17,511220.SH,ORIGINALUNIT,
2000/4/18,511220.SH,ORIGINALUNIT,
2000/4/19,511220.SH,ORIGINALUNIT,
2000/4/20,511220.SH,ORIGINALUNIT,
2000/4/21,511220.SH,ORIGINALUNIT,
2000/4/24,511220.SH,ORIGINALUNIT,
2000/4/25,511220.SH,ORIGINALUNIT,
2000/4/26,511220.SH,ORIGINALUNIT,
2000/4/27,511220.SH,ORIGINALUNIT,
2000/4/28,511220.SH,ORIGINALUNIT,
2000/5/8,511220.SH,ORIGINALUNIT,
2000/5/9,511220.SH,ORIGINALUNIT,
2000/5/10,511220.SH,ORIGINALUNIT,
2000/5/11,511220.SH,ORIGINALUNIT,
2000/5/12,511220.SH,ORIGINALUNIT,
2000/5/15,511220.SH,ORIGINALUNIT,
2000/5/16,511220.SH,ORIGINALUNIT,
2000/5/17,511220.SH,ORIGINALUNIT,
2000/5/18,511220.SH,ORIGINALUNIT,
2000/5/19,511220.SH,ORIGINALUNIT,
2000/5/22,511220.SH,ORIGINALUNIT,
2000/5/23,511220.SH,ORIGINALUNIT,
2000/5/24,511220.SH,ORIGINALUNIT,
2000/5/25,511220.SH,ORIGINALUNIT,
2000/5/26,511220.SH,ORIGINALUNIT,
2000/5/29,511220.SH,ORIGINALUNIT,
2000/5/30,511220.SH,ORIGINALUNIT,
2000/5/31,511220.SH,ORIGINALUNIT,
2000/6/1,511220.SH,ORIGINALUNIT,
2000/6/2,511220.SH,ORIGINALUNIT,
2000/6/5,511220.SH,ORIGINALUNIT,
2000/6/6,511220.SH,ORIGINALUNIT,
2000/6/7,511220.SH,ORIGINALUNIT,
2000/6/8,511220.SH,ORIGINALUNIT,
2000/6/9,511220.SH,ORIGINALUNIT,
2000/6/12,511220.SH,ORIGINALUNIT,
2000/6/13,511220.SH,ORIGINALUNIT,
2000/6/14,511220.SH,ORIGINALUNIT,
2000/6/15,511220.SH,ORIGINALUNIT,
2000/6/16,511220.SH,ORIGINALUNIT,
2000/6/19,511220.SH,ORIGINALUNIT,
2000/6/20,511220.SH,ORIGINALUNIT,
2000/6/21,511220.SH,ORIGINALUNIT,
2000/6/22,511220.SH,ORIGINALUNIT,
2000/6/23,511220.SH,ORIGINALUNIT,
2000/6/26,511220.SH,ORIGINALUNIT,
2000/6/27,511220.SH,ORIGINALUNIT,
2000/6/28,511220.SH,ORIGINALUNIT,
2000/6/29,511220.SH,ORIGINALUNIT,
2000/6/30,511220.SH,ORIGINALUNIT,
2000/7/3,511220.SH,ORIGINALUNIT,
2000/7/4,511220.SH,ORIGINALUNIT,
2000/7/5,511220.SH,ORIGINALUNIT,
2000/7/6,511220.SH,ORIGINALUNIT,
2000/7/7,511220.SH,ORIGINALUNIT,
2000/7/10,511220.SH,ORIGINALUNIT,
2000/7/11,511220.SH,ORIGINALUNIT,
2000/7/12,511220.SH,ORIGINALUNIT,
2000/7/13,511220.SH,ORIGINALUNIT,
2000/7/14,511220.SH,ORIGINALUNIT,
2000/7/17,511220.SH,ORIGINALUNIT,
2000/7/18,511220.SH,ORIGINALUNIT,
2000/7/19,511220.SH,ORIGINALUNIT,
2000/7/20,511220.SH,ORIGINALUNIT,
2000/7/21,511220.SH,ORIGINALUNIT,
2000/7/24,511220.SH,ORIGINALUNIT,
2000/7/25,511220.SH,ORIGINALUNIT,
2000/7/26,511220.SH,ORIGINALUNIT,
2000/7/27,511220.SH,ORIGINALUNIT,
2000/7/28,511220.SH,ORIGINALUNIT,
2000/7/31,511220.SH,ORIGINALUNIT,
2000/8/1,511220.SH,ORIGINALUNIT,
2000/8/2,511220.SH,ORIGINALUNIT,
2000/8/3,511220.SH,ORIGINALUNIT,
2000/8/4,511220.SH,ORIGINALUNIT,
2000/8/7,511220.SH,ORIGINALUNIT,
2000/8/8,511220.SH,ORIGINALUNIT,
2000/8/9,511220.SH,ORIGINALUNIT,
2000/8/10,511220.SH,ORIGINALUNIT,
2000/8/11,511220.SH,ORIGINALUNIT,
2000/8/14,511220.SH,ORIGINALUNIT,
2000/8/15,511220.SH,ORIGINALUNIT,
2000/8/16,511220.SH,ORIGINALUNIT,
2000/8/17,511220.SH,ORIGINALUNIT,
2000/8/18,511220.SH,ORIGINALUNIT,
2000/8/21,511220.SH,ORIGINALUNIT,
2000/8/22,511220.SH,ORIGINALUNIT,
2000/8/23,511220.SH,ORIGINALUNIT,
2000/8/24,511220.SH,ORIGINALUNIT,
2000/8/25,511220.SH,ORIGINALUNIT,
2000/8/28,511220.SH,ORIGINALUNIT,
2000/8/29,511220.SH,ORIGINALUNIT,
2000/8/30,511220.SH,ORIGINALUNIT,
2000/8/31,511220.SH,ORIGINALUNIT,
2000/9/1,511220.SH,ORIGINALUNIT,
2000/9/4,511220.SH,ORIGINALUNIT,
2000/9/5,511220.SH,ORIGINALUNIT,
2000/9/6,511220.SH,ORIGINALUNIT,
2000/9/7,511220.SH,ORIGINALUNIT,
2000/9/8,511220.SH,ORIGINALUNIT,
2000/9/11,511220.SH,ORIGINALUNIT,
