nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-06-29
1.0,1.0,1.0,0.0,2017-06-30
1.0,1.0,1.0,0.0,2017-07-03
1.0,1.0,1.0,0.0,2017-07-04
1.0,1.0,1.0,0.0,2017-07-05
1.0,1.0,1.0,0.0,2017-07-06
1.0,1.0,1.0,0.0,2017-07-07
0.999,0.999,0.999,-0.001,2017-07-10
0.999,0.999,0.999,0.0,2017-07-11
0.999,0.999,0.999,0.0,2017-07-12
0.999,0.999,0.999,0.0,2017-07-13
0.999,0.999,0.999,0.0,2017-07-14
0.999,0.999,0.999,0.0,2017-07-17
1.0,1.0,1.0,0.001001001,2017-07-18
1.0,1.0,1.0,0.0,2017-07-19
1.0,1.0,1.0,0.0,2017-07-20
1.0,1.0,1.0,0.0,2017-07-21
1.0,1.0,1.0,0.0,2017-07-24
1.0,1.0,1.0,0.0,2017-07-25
1.0,1.0,1.0,0.0,2017-07-26
1.001,1.001,1.001,0.001,2017-07-27
1.005,1.005,1.005,0.003996004,2017-07-28
1.025,1.025,1.025,0.0199004975,2017-07-31
1.025,1.025,1.025,0.0,2017-08-01
1.03,1.03,1.03,0.0048780488,2017-08-02
1.025,1.025,1.025,-0.0048543689,2017-08-03
1.031,1.031,1.031,0.0058536585,2017-08-04
1.069,1.069,1.069,0.03685742,2017-08-07
1.093,1.093,1.093,0.0224508887,2017-08-08
1.102,1.102,1.102,0.0082342177,2017-08-09
1.079,1.079,1.079,-0.0208711434,2017-08-10
1.058,1.058,1.058,-0.0194624652,2017-08-11
1.066,1.066,1.066,0.0075614367,2017-08-14
1.063,1.063,1.063,-0.0028142589,2017-08-15
1.06,1.06,1.06,-0.0028222013,2017-08-16
1.066,1.066,1.066,0.0056603774,2017-08-17
1.057,1.057,1.057,-0.0084427767,2017-08-18
1.057,1.057,1.057,0.0,2017-08-21
1.056,1.056,1.056,-0.0009460738,2017-08-22
1.057,1.057,1.057,0.0009469697,2017-08-23
1.05,1.05,1.05,-0.0066225166,2017-08-24
1.058,1.058,1.058,0.0076190476,2017-08-25
1.066,1.066,1.066,0.0075614367,2017-08-28
1.06,1.06,1.06,-0.0056285178,2017-08-29
1.075,1.075,1.075,0.0141509434,2017-08-30
1.089,1.089,1.089,0.0130232558,2017-08-31
1.099,1.099,1.099,0.0091827365,2017-09-01
1.093,1.093,1.093,-0.0054595086,2017-09-04
1.1,1.1,1.1,0.0064043916,2017-09-05
